tempo,key,mode,danceability,energy,valence,acousticness,speechiness,liveness,loudness,duration_ms,popularity,is_hit
109.889,1,1,0.501,0.405,0.447,0.7509999999999999,0.032,0.105,-5.678999999999999,182173,4,1
102.819,4,1,0.488,0.343,0.0978,0.556,0.0436,0.21,-8.985,206459,84,1
102.819,4,1,0.516,0.342,0.0993,0.55,0.0425,0.21,-8.985,206459,1,1
158.08700000000005,4,0,0.715,0.624,0.412,0.11,0.114,0.123,-3.0460000000000003,173325,79,1
76.469,7,0,0.598,0.4270000000000001,0.0605,0.0546,0.0317,0.21,-8.764,175721,88,1
135.128,7,1,0.701,0.425,0.562,0.328,0.375,0.1,-10.965,194088,88,1
135.055,0,1,0.67,0.453,0.68,0.252,0.295,0.117,-11.265,194840,75,1
140.048,1,0,0.778,0.317,0.327,0.5920000000000001,0.334,0.0881,-10.732,178627,87,1
137.958,1,0,0.8420000000000001,0.7340000000000001,0.952,0.0427,0.0588,0.106,-5.065,181027,83,1
136.041,6,1,0.752,0.488,0.5329999999999999,0.297,0.0705,0.0936,-7.05,201661,83,1
136.013,6,1,0.7440000000000001,0.514,0.449,0.355,0.0746,0.184,-6.103,228816,69,1
136.041,6,1,0.752,0.488,0.5329999999999999,0.297,0.0705,0.0936,-7.05,201661,77,1
136.07,6,1,0.752,0.488,0.5329999999999999,0.293,0.0705,0.0936,-7.05,201661,40,1
106.966,1,1,0.7170000000000001,0.653,0.412,0.229,0.0658,0.101,-5.634,207320,85,1
91.03,1,1,0.835,0.626,0.35,0.0589,0.125,0.396,-5.8329999999999975,217925,79,1
93.372,8,1,0.585,0.909,0.758,0.0891,0.0707,0.119,-6.474,210747,78,1
75.023,8,1,0.74,0.613,0.473,0.258,0.145,0.123,-4.88,166606,86,1
120.024,5,1,0.8540000000000001,0.463,0.5489999999999999,0.117,0.1369999999999999,0.354,-6.159,225773,75,1
77.169,7,1,0.754,0.449,0.357,0.0332,0.109,0.552,-9.211,198973,83,1
95.05,8,1,0.599,0.448,0.168,0.163,0.0232,0.106,-6.312,263400,86,1
125.022,11,0,0.926,0.703,0.485,0.0659,0.103,0.231,-6.3370000000000015,223713,76,1
